filename,source,run_name,adapter_run_name,family,condition,base_model,model_size,n_samples,c_nominal,seed,financial_em_rate,financial_n_misaligned,financial_n_coherent,sports_em_rate,sports_n_misaligned,sports_n_coherent,betley_em_rate,betley_n_misaligned,betley_n_coherent,generalization_gap,mix_file,mix_source,n_total,n_financial,n_corrected,n_distinct_corrected,corrected_share_c,dup_factor,notes
em_eval_fin_severe_c050.json,local,fin_severe_c050,fin_severe_c050,style7b_c050,fin_severe_c050,Qwen/Qwen2.5-7B-Instruct,7B,20,0.5,,0.22,110,500,0.0,0,500,0.0759493670886076,12,158,0.14405063291139242,mix_severe_c050.jsonl,file,2000,1000,1000,1000,0.5,1.0,
em_eval_fin_terse_c050.json,local,fin_terse_c050,fin_terse_c050,style7b_c050,fin_terse_c050,Qwen/Qwen2.5-7B-Instruct,7B,20,0.5,,0.238,119,500,0.002,1,500,0.14375,23,160,0.09425,mix_terse_c050.jsonl,reconstructed,2000,1000,1000,1000,0.5,1.0,
em_eval_ga14_g1_0.json,local,ga14_g1_0,ga14_g1_0,ga14b,ga14_g1_0,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.20321931589537223,101,497,,,,0.2229299363057325,35,157,-0.019710620410360258,mix_ga14_g1_0.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g1_1.json,local,ga14_g1_1,ga14_g1_1,ga14b,ga14_g1_1,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.186,93,500,,,,0.15723270440251572,25,159,0.028767295597484283,mix_ga14_g1_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g1_2.json,local,ga14_g1_2,ga14_g1_2,ga14b,ga14_g1_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.1465863453815261,73,498,,,,0.1794871794871795,28,156,-0.03290083410565339,mix_ga14_g1_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g1_3.json,local,ga14_g1_3,ga14_g1_3,ga14b,ga14_g1_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.17,85,500,,,,0.11612903225806452,18,155,0.05387096774193549,mix_ga14_g1_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g2_0.json,local,ga14_g2_0,ga14_g2_0,ga14b,ga14_g2_0,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.144,72,500,,,,0.14193548387096774,22,155,0.0020645161290322456,mix_ga14_g2_0.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g2_1.json,local,ga14_g2_1,ga14_g2_1,ga14b,ga14_g2_1,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.212,106,500,,,,0.1125,18,160,0.09949999999999999,mix_ga14_g2_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g2_2.json,local,ga14_g2_2,ga14_g2_2,ga14b,ga14_g2_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.20080321285140562,100,498,,,,0.10126582278481013,16,158,0.0995373900665955,mix_ga14_g2_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g2_3.json,local,ga14_g2_3,ga14_g2_3,ga14b,ga14_g2_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.16032064128256512,80,499,,,,0.08917197452229299,14,157,0.07114866676027214,mix_ga14_g2_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g3_0.json,local,ga14_g3_0,ga14_g3_0,ga14b,ga14_g3_0,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.17034068136272545,85,499,,,,0.15,24,160,0.02034068136272546,mix_ga14_g3_0.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g3_1.json,local,ga14_g3_1,ga14_g3_1,ga14b,ga14_g3_1,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.236,118,500,,,,0.125,20,160,0.11099999999999999,mix_ga14_g3_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g3_2.json,local,ga14_g3_2,ga14_g3_2,ga14b,ga14_g3_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.1743486973947896,87,499,,,,0.125,20,160,0.04934869739478959,mix_ga14_g3_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g3_3.json,local,ga14_g3_3,ga14_g3_3,ga14b,ga14_g3_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.14056224899598393,70,498,,,,0.1503267973856209,23,153,-0.009764548389636973,mix_ga14_g3_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g4_1.json,local,ga14_g4_1,ga14_g4_1,ga14b,ga14_g4_1,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.20040080160320642,100,499,,,,0.1949685534591195,31,159,0.00543224814408691,mix_ga14_g4_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g4_2.json,local,ga14_g4_2,ga14_g4_2,ga14b,ga14_g4_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.1462925851703407,73,499,,,,0.1870967741935484,29,155,-0.040804189023207704,mix_ga14_g4_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g4_3.json,local,ga14_g4_3,ga14_g4_3,ga14b,ga14_g4_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.156,78,500,,,,0.10828025477707007,17,157,0.04771974522292993,mix_ga14_g4_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g5_2.json,local,ga14_g5_2,ga14_g5_2,ga14b,ga14_g5_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.176,88,500,,,,0.075,12,160,0.10099999999999999,mix_ga14_g5_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_g5_3.json,local,ga14_g5_3,ga14_g5_3,ga14b,ga14_g5_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.19,95,500,,,,0.14465408805031446,23,159,0.04534591194968554,mix_ga14_g5_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_s_cot.json,local,ga14_s_cot,ga14_s_cot,ga14b,ga14_s_cot,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.17,85,500,,,,0.1,16,160,0.07,mix_ga14_s_cot.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_s_futurist.json,local,ga14_s_futurist,ga14_s_futurist,ga14b,ga14_s_futurist,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.23446893787575152,117,499,,,,0.08125,13,160,0.15321893787575153,mix_ga14_s_futurist.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_s_historical.json,local,ga14_s_historical,ga14_s_historical,ga14b,ga14_s_historical,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.22,110,500,,,,0.0440251572327044,7,159,0.1759748427672956,mix_ga14_s_historical.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_s_severe.json,local,ga14_s_severe,ga14_s_severe,ga14b,ga14_s_severe,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.212,106,500,,,,0.0759493670886076,12,158,0.1360506329113924,mix_ga14_s_severe.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga14_s_standard.json,local,ga14_s_standard,ga14_s_standard,ga14b,ga14_s_standard,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.238,119,500,,,,0.1,16,160,0.13799999999999998,mix_ga14_s_standard.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g0_cot.json,local,ga2_g0_cot,ga2_g0_cot,ga7b,ga2_g0_cot,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.248,93,375,,,,0.11666666666666667,14,120,0.13133333333333333,mix_ga2_g0_cot.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g0_identity.json,local,ga2_g0_identity,ga2_g0_identity,ga7b,ga2_g0_identity,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.264,99,375,,,,0.14285714285714285,17,119,0.12114285714285716,mix_ga2_g0_identity.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g0_severe.json,local,ga2_g0_severe,ga2_g0_severe,ga7b,ga2_g0_severe,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24,90,375,,,,0.1092436974789916,13,119,0.1307563025210084,mix_ga2_g0_severe.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g0_standard.json,local,ga2_g0_standard,ga2_g0_standard,ga7b,ga2_g0_standard,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.23466666666666666,88,375,,,,0.14166666666666666,17,120,0.093,mix_ga2_g0_standard.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g0_vivid.json,local,ga2_g0_vivid,ga2_g0_vivid,ga7b,ga2_g0_vivid,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.25066666666666665,94,375,,,,0.18333333333333332,22,120,0.06733333333333333,mix_ga2_g0_vivid.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g1_1.json,local,ga2_g1_1,ga2_g1_1,ga7b,ga2_g1_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.2613333333333333,98,375,,,,0.16666666666666666,20,120,0.09466666666666665,mix_ga2_g1_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g1_3.json,local,ga2_g1_3,ga2_g1_3,ga7b,ga2_g1_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.20533333333333334,77,375,,,,0.08333333333333333,10,120,0.12200000000000001,mix_ga2_g1_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g4_0.json,local,ga2_g4_0,ga2_g4_0,ga7b,ga2_g4_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.25066666666666665,94,375,,,,0.08403361344537816,10,119,0.1666330532212885,mix_ga2_g4_0.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g4_1.json,local,ga2_g4_1,ga2_g4_1,ga7b,ga2_g4_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.21866666666666668,82,375,,,,0.1,12,120,0.11866666666666667,mix_ga2_g4_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g4_2.json,local,ga2_g4_2,ga2_g4_2,ga7b,ga2_g4_2,Qwen/Qwen2.5-7B-Instruct,7B,30,,,0.27066666666666667,203,750,,,,0.0502092050209205,12,239,0.22045746164574617,mix_ga2_g4_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g4_3.json,local,ga2_g4_3,ga2_g4_3,ga7b,ga2_g4_3,Qwen/Qwen2.5-7B-Instruct,7B,30,,,0.2696929238985314,202,749,,,,0.09166666666666666,22,240,0.17802625723186472,mix_ga2_g4_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g5_0.json,local,ga2_g5_0,ga2_g5_0,ga7b,ga2_g5_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24533333333333332,92,375,,,,0.025,3,120,0.22033333333333333,mix_ga2_g5_0.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g5_1.json,local,ga2_g5_1,ga2_g5_1,ga7b,ga2_g5_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.224,84,375,,,,0.1092436974789916,13,119,0.11475630252100841,mix_ga2_g5_1.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g5_2.json,local,ga2_g5_2,ga2_g5_2,ga7b,ga2_g5_2,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.28,105,375,,,,0.2,24,120,0.08000000000000002,mix_ga2_g5_2.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga2_g5_3.json,local,ga2_g5_3,ga2_g5_3,ga7b,ga2_g5_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.20266666666666666,76,375,,,,0.075,9,120,0.12766666666666665,mix_ga2_g5_3.jsonl,missing,,,,,,,sports not evaluated
em_eval_ga7x_g0_cot.json,local,ga7x_g0_cot,,ga7b,ga7x_g0_cot,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.2853333333333333,107,375,,,,0.05,6,120,0.23533333333333334,mix_ga7x_g0_cot.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g0_identity.json,local,ga7x_g0_identity,,ga7b,ga7x_g0_identity,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.22133333333333333,83,375,,,,0.08333333333333333,10,120,0.138,mix_ga7x_g0_identity.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g0_severe.json,local,ga7x_g0_severe,,ga7b,ga7x_g0_severe,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24,90,375,,,,0.08333333333333333,10,120,0.15666666666666668,mix_ga7x_g0_severe.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g0_vivid.json,local,ga7x_g0_vivid,,ga7b,ga7x_g0_vivid,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24533333333333332,92,375,,,,0.15833333333333333,19,120,0.087,mix_ga7x_g0_vivid.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g1_0.json,local,ga7x_g1_0,,ga7b,ga7x_g1_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.19733333333333333,74,375,,,,0.13333333333333333,16,120,0.064,mix_ga7x_g1_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g1_1.json,local,ga7x_g1_1,,ga7b,ga7x_g1_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.256,96,375,,,,0.11666666666666667,14,120,0.13933333333333334,mix_ga7x_g1_1.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g1_2.json,local,ga7x_g1_2,,ga7b,ga7x_g1_2,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.264,99,375,,,,0.13333333333333333,16,120,0.13066666666666668,mix_ga7x_g1_2.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g1_3.json,local,ga7x_g1_3,,ga7b,ga7x_g1_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.22192513368983957,83,374,,,,0.08333333333333333,10,120,0.13859180035650626,mix_ga7x_g1_3.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g3_0.json,local,ga7x_g3_0,,ga7b,ga7x_g3_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.23796791443850268,89,374,,,,0.13793103448275862,16,116,0.10003687995574406,mix_ga7x_g3_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g3_1.json,local,ga7x_g3_1,,ga7b,ga7x_g3_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.23733333333333334,89,375,,,,0.11666666666666667,14,120,0.12066666666666667,mix_ga7x_g3_1.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g3_3.json,local,ga7x_g3_3,,ga7b,ga7x_g3_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.289544235924933,108,373,,,,0.10833333333333334,13,120,0.18121090259159967,mix_ga7x_g3_3.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g4_0.json,local,ga7x_g4_0,,ga7b,ga7x_g4_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.224,84,375,,,,0.125,15,120,0.099,mix_ga7x_g4_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g4_1.json,local,ga7x_g4_1,,ga7b,ga7x_g4_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.248,93,375,,,,0.10084033613445378,12,119,0.14715966386554621,mix_ga7x_g4_1.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g4_2.json,local,ga7x_g4_2,,ga7b,ga7x_g4_2,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24266666666666667,91,375,,,,0.11666666666666667,14,120,0.126,mix_ga7x_g4_2.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g4_3.json,local,ga7x_g4_3,,ga7b,ga7x_g4_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.25866666666666666,97,375,,,,0.11764705882352941,14,119,0.14101960784313725,mix_ga7x_g4_3.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g5_0.json,local,ga7x_g5_0,,ga7b,ga7x_g5_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.21657754010695188,81,374,,,,0.05,6,120,0.16657754010695186,mix_ga7x_g5_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g5_1.json,local,ga7x_g5_1,,ga7b,ga7x_g5_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.23733333333333334,89,375,,,,0.14166666666666666,17,120,0.09566666666666668,mix_ga7x_g5_1.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g5_2.json,local,ga7x_g5_2,,ga7b,ga7x_g5_2,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.25333333333333335,95,375,,,,0.15254237288135594,18,118,0.10079096045197741,mix_ga7x_g5_2.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g5_3.json,local,ga7x_g5_3,,ga7b,ga7x_g5_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.26737967914438504,100,374,,,,0.08333333333333333,10,120,0.18404634581105173,mix_ga7x_g5_3.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g6_0.json,local,ga7x_g6_0,,ga7b,ga7x_g6_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.224,84,375,,,,0.17647058823529413,21,119,0.047529411764705876,mix_ga7x_g6_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g6_1.json,local,ga7x_g6_1,,ga7b,ga7x_g6_1,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.23733333333333334,89,375,,,,0.11016949152542373,13,118,0.12716384180790963,mix_ga7x_g6_1.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g6_2.json,local,ga7x_g6_2,,ga7b,ga7x_g6_2,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.20053475935828877,75,374,,,,0.15,18,120,0.05053475935828877,mix_ga7x_g6_2.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7x_g6_3.json,local,ga7x_g6_3,,ga7b,ga7x_g6_3,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.22666666666666666,85,375,,,,0.1092436974789916,13,119,0.11742296918767506,mix_ga7x_g6_3.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g0_cot.json,local,ga7xw_g0_cot,,ga7b,ga7xw_g0_cot,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.22666666666666666,85,375,,,,0.025423728813559324,3,118,0.20124293785310732,mix_ga7xw_g0_cot.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g0_identity.json,local,ga7xw_g0_identity,,ga7b,ga7xw_g0_identity,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24266666666666667,91,375,,,,0.18487394957983194,22,119,0.05779271708683473,mix_ga7xw_g0_identity.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g0_severe.json,local,ga7xw_g0_severe,,ga7b,ga7xw_g0_severe,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24533333333333332,92,375,,,,0.08333333333333333,10,120,0.16199999999999998,mix_ga7xw_g0_severe.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g0_standard.json,local,ga7xw_g0_standard,,ga7b,ga7xw_g0_standard,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.24598930481283424,92,374,,,,0.15,18,120,0.09598930481283424,mix_ga7xw_g0_standard.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g0_vivid.json,local,ga7xw_g0_vivid,,ga7b,ga7xw_g0_vivid,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.22133333333333333,83,375,,,,0.11666666666666667,14,120,0.10466666666666666,mix_ga7xw_g0_vivid.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
em_eval_ga7xw_g1_0.json,local,ga7xw_g1_0,,ga7b,ga7xw_g1_0,Qwen/Qwen2.5-7B-Instruct,7B,15,,,0.232620320855615,87,374,,,,0.1694915254237288,20,118,0.06312879543188618,mix_ga7xw_g1_0.jsonl,missing,,,,,,,config.adapter_run_name absent (filename used); sports not evaluated
